IdRup;Rup;OficinaId;CoordenadaX;CoordenadaY;Huso;Latitud;Longitud;PesoContagio;PesoMasaEntrada;PesoMasaSalida;NivelVigilancia;ProtocoloLab;CantidadNegativosLab;CantidadPositivosLab;ProtocoloPc;CantidadNegativosPc;CantidadPositivosPc;TodosNegativosLab;AlMenosUnPositivoLab;TodosNegativosPc;AlMenosUnPositivoPc;CodigoTERubro;RiesgoMovimiento;TextoRiesgoMovimiento;PREDICCION
14752;04.3.05.0048;13;345660;6638387;19;-30.376617562927862;-70.60624234591654;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
87489;04.2.01.0413;14;305201;6501880;19;-31.60171730817179;-71.05331289330225;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
23665;04.2.03.0038;14;275749;6455147;19;-32.01761959642147;-71.37430273881773;5;1;1;3;0;0;0;184875;90;0;0;0;1;0;12;S/I;S/I;1
124497;04.2.03.0126;14;281920;6453871;19;-32.030328041871854;-71.30930082007231;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
232152;04.2.03.0347;14;278380;6455917;19;-32.01119695765307;-71.34628965888884;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
105956;04.2.04.0854;14;329133;6469884;19;-31.89405243432245;-70.80676328140373;5;1;1;3;167581;10;0;0;0;0;1;0;0;0;12;S/I;S/I;1
6331;04.3.02.0030;13;309179;6551247;19;-31.15723518663484;-71.00193793358343;5;1;1;3;165531;15;0;0;0;0;1;0;0;0;12;S/I;S/I;1
62750;04.1.05.0098;12;356428;6657075;19;-30.209360014732958;-70.4916571037839;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
90506;04.1.05.0038;12;357257;6659987;19;-30.183187672896366;-70.48265279076647;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
30900;04.1.05.0017;12;356272;6666276;19;-30.126336524509405;-70.49202650052025;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
42642;04.1.05.0026;12;357028;6658449;19;-30.19703553754145;-70.48523894664552;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
107741;04.1.05.0116;12;355611;6668156;19;-30.10929825085984;-70.49863019122785;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
1878;04.1.05.0008;12;355903;6667388;19;-30.11626120028845;-70.4957047466992;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
251248;04.1.05.0173;12;357260;6659079;19;-30.19137938422819;-70.48274435736414;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
52553;04.1.05.0041;12;375344;6805057;19;-28.876214921590403;-70.27825958775233;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
168833;04.1.01.0284;12;280810;6692195;19;-29.881379874704393;-71.26963511473119;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
349447;04.2.01.1210;14;283275;6493377;19;-31.67445019891869;-71.2861545502722;1;10;0;3;211688;28;0;208563;149;0;1;0;0;0;119;S/I;S/I;1
363906;04.2.02.0824;14;315029;7133600;18;-25.904406335805945;-76.84658331305553;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
365004;04.2.03.0539;14;278241;6442537;18;-32.13177843207417;-77.35084578616247;1;1;1;0;0;0;0;0;0;0;0;0;0;0;112;S/I;S/I;10
324797;04.2.04.1351;14;347854;6465080;19;-31.940036281746465;-70.60963105158137;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
95529;04.2.04.0267;14;349804;6460384;19;-31.982646381172305;-70.58973746971368;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
357325;04.2.04.1533;14;310725;6476977;18;-31.827183109707946;-76.99993292021736;5;1;1;0;0;0;0;0;0;0;0;0;0;0;12;S/I;S/I;10
200853;04.2.04.1211;14;327100;6488707;19;-31.724008956204138;-70.82490999266714;1;1;1;0;0;0;0;0;0;0;0;0;0;0;119;S/I;S/I;10
